type,uri,element,value
collectionobjects,/collectionobjects/e335e38c-078c-47bb-aa24,objectNumber,1998.4141
collectionobjects,/collectionobjects/acea870e-59d4-4c8b-a7a3,objectNumber,2014.9807
collectionobjects,/collectionobjects/c696cdb3-598d-44fa-8c21,objectNumber,2014.9815
collectionobjects,/collectionobjects/e1b39c28-89b2-4a0f-a11c,objectNumber,2004.661
collectionobjects,/collectionobjects/748245e9-b6e4-41a7-b24b,objectNumber,2014.9727
collectionobjects,/collectionobjects/0f59c96e-c06d-4177-98ae,objectNumber,1994.116
collectionobjects,/collectionobjects/0c0f0aaa-1895-4453-8d75,objectNumber,1981.4
collectionobjects,/collectionobjects/3d6a8542-19a8-4c51-971b,objectNumber,2014.9758
collectionobjects,/collectionobjects/c3b19148-de00-4756-b0cd,objectNumber,2014.9862
collectionobjects,/collectionobjects/5686c44f-dab5-41d9-9ea7,objectNumber,2004.6648
collectionobjects,/collectionobjects/e1924165-e2a0-4ccf-8a9e,objectNumber,2014.9737
collectionobjects,/collectionobjects/1eaca9c7-e772-4db6-bc90,objectNumber,2013.9738
collectionobjects,/collectionobjects/7fca784b-b022-4a39-8268,objectNumber,2014.9861
collectionobjects,/collectionobjects/599e592b-ba2e-4263-a555,objectNumber,2014.9735
collectionobjects,/collectionobjects/f480f248-067b-416d-8a15,objectNumber,2014.9721
collectionobjects,/collectionobjects/e5b18a26-2b54-4123-832f,objectNumber,2014.9794
collectionobjects,/collectionobjects/4c5bcabe-7847-415e-aecd,objectNumber,2004.6621
collectionobjects,/collectionobjects/76886c41-585a-4f9f-9d18,objectNumber,2014.9753
collectionobjects,/collectionobjects/09c2593d-c4bb-44ac-b000,objectNumber,2014.9757
collectionobjects,/collectionobjects/e67b6c18-62b1-4256-b52b,objectNumber,1997.3418
collectionobjects,/collectionobjects/4a19c17b-98d2-4b5a-ba54,objectNumber,2013.9713
collectionobjects,/collectionobjects/bf9e44c3-9c8d-4cff-afa6,objectNumber,2014.984
