type,uri,element,value
collectionobjects,/collectionobjects/7acc0216-1e6f-4094-b4ea,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/654c41be-daf7-4f49-9bb8,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/5a0c9390-a8c7-479c-b53c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/21da2c5b-7361-4f14-be15,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/0fb04093-3aa5-4fb4-afd1,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b5a8cc05-45dd-4002-805d,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/5f5884b6-aeb7-4169-a82c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/89e226b2-6524-47a9-9b2f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/97e2e809-8c7f-4d88-8ec9,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/52db5e76-ee0c-464a-911f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/58d2d7a7-69e4-4d47-acee,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/19bdeaf5-4aa7-4dc3-9213,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4abb51c0-768b-46a3-a848,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/8143133d-36d6-43a2-9c13,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/05ecb243-1861-4a98-b8ef,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/062ffec0-4676-4f48-abdf,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/a441d571-d005-4632-9eed,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4d4288e8-43ed-4098-8ab4,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/2dc9d90c-7213-4b26-8756,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/5c3c6e13-4377-4985-9d23,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/83d256f4-edad-4ab7-8e45,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/dd96dc94-d693-459a-8483,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/5edadf49-2975-45ae-9c64,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/97c2fb46-7e79-40cc-af74,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/8c1352e1-c025-497c-a86a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f3c0ee6c-9467-4af7-82ad,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ba2f7c17-44da-425f-a5f0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/bee746ef-d277-41f5-8d3f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/92bd5f25-66ad-4e3d-a828,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6ca753fe-11fb-4835-9a97,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3c4772c1-99a1-4fcb-ae63,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6409b846-c965-4ea5-8a5e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/d2712e61-c34f-4c10-90ea,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/722396db-a990-4bb3-a13c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/435364c9-61a4-42d7-96cd,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9adbc5db-2be8-48b5-84ba,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/15760541-f5a9-46de-bccc,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/a468660d-9e32-4494-b3a6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/a5d9ff64-07da-47b6-aa66,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/996ec138-e785-48b1-94c8,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/faa28c31-c679-440e-9cd8,responsibleDepartment,artcollection
